"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM0-45023	1737833	COLI-K12-34
PM00117	3886434	COLI-K12-77 // TU0-42514 // TU00085
PM00491	4151213	COLI-K12-83 // TU0-6510
PM0-45098	1891990	TU0-13416 // COLI-K12-37
PM0-45384	2621012	COLI-K12-52
PM00568	3190024	COLI-K12-63 // TU00420
PM0-45752	3524447	COLI-K12-70
PM0-45459	2861591	COLI-K12-57
PM0-10170	4109592	COLI-K12-82 // TU0-14668
PM0-45827	3710083	COLI-K12-74
PM0-46117	4638861	COLI-K12-92
PM0-10330	812716	COLI-K12-16 // TU0-14730
PM0-36247	2583599	COLI-K12-51 // TU0-13641
PM0-46310	407798	COLI-K12-8 // TU0-12916
PM0-8841	741842	COLI-K12-14 // TU0-8454
PM0-44354	118681	COLI-K12-2
PM0-44640	858323	COLI-K12-17
PM0-9396	1169640	COLI-K12-23 // TU0-13138
PM00001	4213425	COLI-K12-84 // TU00001
PM0-44715	1081377	COLI-K12-21
PM0-45007	1682197	COLI-K12-33
PM00098	4271959	COLI-K12-85 // TU00069
PM00475	3948313	COLI-K12-79 // TU0-42517 // TU525
PM0-45082	1869961	COLI-K12-37
PM0-45368	2529405	COLI-K12-50
PM00552	4187776	COLI-K12-83 // TU00399
PM0-45736	3476550	COLI-K12-69
PM0-45443	2765664	COLI-K12-55
PM0-10150	3759998	COLI-K12-75 // TU0-13988
PM0-45811	3651292	COLI-K12-73
PM0-46101	4598360	COLI-K12-92
PM0-10259	3176084	COLI-K12-63 // TU0-14704
PM0-36232	1023588	COLI-K12-20 // TU0-13099
PM0-46277	1147739	COLI-K12-23 // TU00266
PM0-8732	1120281	COLI-K12-22 // TU0-8351
PM0-44339	11913	COLI-K12-0
PM0-44623	820001	COLI-K12-16
PM0-9363	1143985	COLI-K12-22 // TU0-14272
PM0-9984	483909	COLI-K12-9 // TU0-14615
PM0-44699	1047341	COLI-K12-21
PM0-44991	1646462	TU0-13329 // COLI-K12-33
PM00076	2595803	COLI-K12-52 // TU00055
PM00457	3878173	COLI-K12-77 // TU0-2603
PM0-45066	1831332	COLI-K12-36
PM0-45352	2493358	COLI-K12-50
PM00536	1102567	COLI-K12-22 // TU00392
PM929	4194977	COLI-K12-84 // TU784
PM0-45427	2739699	COLI-K12-54
PM0-45720	3411624	COLI-K12-68
PM0-45795	3607936	COLI-K12-72
PM0-10130	3299390	COLI-K12-66 // TU0-13877
PM0-10233	1599281	COLI-K12-32 // TU0-13299
PM0-46085	4561757	COLI-K12-91
PM0-46201	1636736	COLI-K12-32 // TU0-42493
PM0-36215	1123326	COLI-K12-22 // TU0-13130
PM0-4401	2597036	COLI-K12-52 // TU0-4161
PM0-8642	3719088	COLI-K12-74 // TU0-8262
PM0-9301	1715293	COLI-K12-34 // TU0-8865
PM0-44609	784682	COLI-K12-15
PM0-44683	997031	COLI-K12-20
PM0-9968	267250	COLI-K12-5 // TU0-14610
PM00049	3550532	COLI-K12-71 // TU00039
PM0-44975	1622540	COLI-K12-32
PM0-45050	1790851	COLI-K12-35
PM00439	3309808	COLI-K12-66 // TU0-8474 // TU0-6660
PM00520	952964	COLI-K12-19 // TU00382
PM0-45336	2453710	COLI-K12-49
PM0-45411	2703486	COLI-K12-54
PM692	3740697	COLI-K12-75 // TU592
PM0-45779	3595851	COLI-K12-72
PM0-45704	3386258	COLI-K12-67
PM0-10204	738143	COLI-K12-14 // TU0-14679
PM0-10113	2907735	COLI-K12-58 // TU0-14654
PM0-46175	2051590	COLI-K12-41 // TU0-42474
PM0-46069	4509553	COLI-K12-90
PM0-3843		TU0-42594
PM0-36184	3908565	COLI-K12-78 // TU0-36418
PM0-3822	3416994	COLI-K12-68 // TU0-3622
PM0-8541	902992	COLI-K12-18 // TU00240
PM0-8918	1789278	COLI-K12-35 // TU0-8482
PM0-44592	728305	COLI-K12-14
PM0-44664	944942	COLI-K12-18
PM0-9889	651175	COLI-K12-13 // TU0-12999
PM00028	3408268	COLI-K12-68 // TU00021
PM0-44959	1568551	COLI-K12-31
PM0-45031	1745137	COLI-K12-35
PM00421	2802585	COLI-K12-56 // TU701
PM00500	4272115	COLI-K12-85 // TU0-6564
PM0-45320	2389739	COLI-K12-47
PM0-45392	2640954	COLI-K12-52
PM624	484922	COLI-K12-9 // TU00233
PM0-45760	3534802	COLI-K12-70
PM0-45688	3360116	COLI-K12-67
PM0-10180	4268237	COLI-K12-85 // TU0-14122
PM0-10094	2542693	COLI-K12-51 // TU0-14643
PM0-46128	1984172	COLI-K12-39 // TU0-42451
PM0-46053	4477589	COLI-K12-89
PM0-36254	3387518	COLI-K12-67 // TU0-8759
PM0-36134	4049331	COLI-K12-81 // TU0-14060
PM0-8862	3723377	COLI-K12-74 // TU00281
PM0-8281	2237413	COLI-K12-44 // TU0-7901
PM0-44648	889164	COLI-K12-17
PM0-44576	675860	COLI-K12-13
PM00009	3382699	COLI-K12-67 // TU00007
PM0-9861		TU0-13102
PM0-45015	1702836	COLI-K12-34
PM0-44943	1521300	COLI-K12-30
PM00483	4047922	COLI-K12-81 // TU797
PM00403	2428792	COLI-K12-48 // TU00444
PM0-45376	2561411	COLI-K12-51
PM0-45304	2379708	COLI-K12-47
PM0-45744	3497781	COLI-K12-70
PM561	1236732	COLI-K12-24 // TU461
PM0-10159	3929288	COLI-K12-78 // TU0-14663
PM0-45672	3299301	COLI-K12-66
PM0-46109	4619739	COLI-K12-92
PM0-10076	2112375	COLI-K12-42 // TU0-14346
PM0-3624	4388661	COLI-K12-88 // TU0-3424
PM0-46037	4435725	COLI-K12-88
PM0-8744	159195	COLI-K12-3 // TU0-8362
PM0-3304	137045	COLI-K12-2 // TU0-3124
PM0-44631	841447	COLI-K12-16
PM0-8102	1980466	COLI-K12-39 // TU0-7722
PM0-9992	659524	COLI-K12-13 // TU0-13004
PM0-44560	660609	COLI-K12-13
PM0-44999	1667676	COLI-K12-33
PM0-9840		TU0-8544
PM00466	3881984	COLI-K12-77 // TU00259
PM0-44927	1500469	COLI-K12-30
PM0-45360	2516281	COLI-K12-50
PM00379	1840332	COLI-K12-36 // TU0-1201
PM964	4392058	COLI-K12-88 // TU802
PM0-45288	2342287	COLI-K12-46
PM0-45728	3433013	COLI-K12-68
PM446	738644	COLI-K12-14 // TU365
PM0-10141	3474528	COLI-K12-69 // TU0-13915
PM0-45656	3285313	COLI-K12-65
PM0-46093	4587071	COLI-K12-91
PM0-10059	1837464	COLI-K12-36 // TU0-13389
PM0-36225	214280	COLI-K12-4 // TU0-12835
PM0-46021	4377496	COLI-K12-87
PM0-8714	855009	COLI-K12-17 // TU0-8334
PM0-2622	4465302	COLI-K12-89 // TU0-2442
PM0-44616	797762	COLI-K12-16
PM0-7821	2744276	COLI-K12-55 // TU00351
PM0-9976	407372	COLI-K12-8 // TU0-12915
PM0-44544	631214	COLI-K12-12
PM0-44983	1636221	COLI-K12-32
PM0-9818		TU0-14535
PM00447	3489670	COLI-K12-69 // TU0-6885
PM0-44911	1488790	COLI-K12-29
PM0-45344	2471444	COLI-K12-49
PM00363	1145872	COLI-K12-22 // TU601
PM821	889999	COLI-K12-17 // TU721
PM0-45273	2280455	COLI-K12-45
PM0-45712	3397105	COLI-K12-68
PM343	4040144	COLI-K12-81 // TU263
PM0-10122	3136632	COLI-K12-62 // TU0-13819
PM0-45640	3250805	COLI-K12-65
PM0-46077	4522163	COLI-K12-90
PM0-10042	1524252	COLI-K12-30 // TU0-13274
PM0-36195	3841933	COLI-K12-77 // TU0-8765
PM0-46005	4295245	COLI-K12-86
PM0-8603	4010878	COLI-K12-80 // TU0-8223
PM0-2201	4238323	COLI-K12-84 // TU0-2021
PM0-44601	773373	COLI-K12-15
PM0-7507	3806279	COLI-K12-76 // TU0-7164
PM0-9960	131564	COLI-K12-2 // TU0-14608
PM0-44528	571542	COLI-K12-11
PM0-44967	1609898	COLI-K12-32
PM0-9799	3469746	COLI-K12-69 // TU0-14519
PM00429	3081968	COLI-K12-61 // TU0-6625
PM0-44895	1435103	COLI-K12-28
PM0-45328	2429897	COLI-K12-48
PM00347	705283	COLI-K12-14 // TU0-6504
PM664	960940	COLI-K12-19 // TU564
PM0-45258	2249675	COLI-K12-45
PM0-45696	3376312	COLI-K12-67
PM326	2058965	COLI-K12-41 // TU0-1342
PM0-10103	2745875	COLI-K12-55 // TU0-13680
PM0-45624	3234421	COLI-K12-64
PM0-46061	4494257	COLI-K12-90
PM0-10024	1234139	COLI-K12-24 // TU0-8794
PM0-36157	159391	COLI-K12-3 // TU0-36412
PM0-45989	4258137	COLI-K12-85
PM0-8464	1948641	COLI-K12-39 // TU0-8084
PM0-1901	4366626	COLI-K12-87 // TU0-1721
PM0-44584	688428	COLI-K12-13
PM0-7	3495815	COLI-K12-70 // TU0-6
PM0-9874	806544	COLI-K12-16 // TU0-13045
PM0-44512	555855	COLI-K12-11
PM0-44951	1542782	COLI-K12-30
PM0-9778		TU0-14499
PM00413	2597806	COLI-K12-52 // TU00256
PM0-44879	1418268	COLI-K12-28
PM0-45312	2383791	COLI-K12-47
PM00330	235934	COLI-K12-4 // TU0-6647
PM589	460556	COLI-K12-9 // TU489
PM0-45243	2222963	COLI-K12-44
PM0-45680	3332818	COLI-K12-66
PM202	4638622	COLI-K12-92 // TU347
PM0-10085	2361677	COLI-K12-47 // TU0-13567
PM0-45608	3197775	COLI-K12-64
PM0-46045	4456088	COLI-K12-89
PM0-10006	970895	COLI-K12-19 // TU0-13089
PM0-3521	3217480	COLI-K12-64 // TU0-3341
PM0-45973	4148334	COLI-K12-83
PM0-8186	174921	COLI-K12-3 // TU0-7806
PM0-1581	1614979	COLI-K12-32 // TU0-1421
PM0-44568	669167	COLI-K12-13
PM0-5762	3810600	COLI-K12-76 // TU0-5601 // TU0-5522
PM0-9850		TU0-14192
PM0-44496	503991	COLI-K12-10
PM0-44935	1515270	COLI-K12-30
PM0-9760	1605245	COLI-K12-32 // TU0-13300
PM00387	1987526	COLI-K12-39 // TU0-6631
PM0-44863	1388661	COLI-K12-27
PM0-45296	2362339	COLI-K12-47
PM00314	3575668	COLI-K12-71 // TU0-42512 // TU00228
PM504	3559503	COLI-K12-71 // TU402
PM0-45228	2184906	COLI-K12-43
PM0-45664	3291233	COLI-K12-66
PM174	3517189	COLI-K12-70 // TU873
PM0-10067	1948725	COLI-K12-39 // TU0-14634
PM0-45592	3167771	COLI-K12-63
PM0-46029	4422851	COLI-K12-88
PM-8816	1726377	COLI-K12-34 // TU-8430
PM0-2841	1542187	COLI-K12-30 // TU0-2661
PM0-45957	4087925	COLI-K12-81
PM0-7981	531614	COLI-K12-10 // TU0-7601
PM0-1347	2729470	COLI-K12-54 // TU0-1187
PM0-44552	645855	COLI-K12-12
PM0-5321	1694176	COLI-K12-33 // TU0-5081
PM0-9831	4397824	COLI-K12-88 // TU0-14548
PM0-44480	452851	COLI-K12-9
PM0-44919	1494669	COLI-K12-30
PM0-9740	4205994	COLI-K12-84 // TU0-14487
PM00371	1686575	COLI-K12-33 // TU0-6425
PM0-44847	1333080	COLI-K12-26
PM0-45280	2304946	COLI-K12-46
PM00289	2632129	COLI-K12-52 // TU00205
PM421	3598836	COLI-K12-72 // TU221
PM0-45212	2118361	COLI-K12-42
PM0-45648	3265243	COLI-K12-65
PM1030	425279	COLI-K12-8 // TU870
PM0-10051	1712351	COLI-K12-34 // TU0-13353
PM0-45576	3147597	COLI-K12-63
PM0-46013	4350413	COLI-K12-87
PM0-45941	4060189	COLI-K12-81
PM0-2441	3663862	COLI-K12-73 // TU0-14433 // TU0-2261
PM-8790	1964240	COLI-K12-39 // TU-8405
PM0-7681	3057375	COLI-K12-61 // TU0-7341
PM0-1181	191812	COLI-K12-3 // TU0-1021
PM0-44536	605628	COLI-K12-12
PM0-5121	3576772	COLI-K12-71
PM0-9808		TU0-14525
PM0-44464	391843	COLI-K12-7
PM0-44903	1475495	COLI-K12-29
PM0-9716	705222	COLI-K12-14 // TU0-14467
PM00355	961082	COLI-K12-19 // TU565
PM0-44831	1305373	COLI-K12-26
PM0-45266	2264236	COLI-K12-45
PM00264	2248828	COLI-K12-45 // TU00189
PM334	1386868	COLI-K12-27 // TU544
PM0-45196	2096334	COLI-K12-42
PM0-45632	3248488	COLI-K12-65
PM00669	2516275	COLI-K12-50 // TU00514
PM0-10034	1386898	COLI-K12-27 // TU0-8693
PM0-45560	3119386	COLI-K12-62
PM0-45997	4277852	COLI-K12-85
PM0-45925	4016770	COLI-K12-80
PM0-2001	594796	COLI-K12-11 // TU0-1821
PM-8768	2636997	COLI-K12-52 // TU-8385
PM0-7322	1639739	COLI-K12-32
PM0-10554	3070757	COLI-K12-61 // TU0-14818 // TU0-14817
PM0-44520	558026	COLI-K12-11
PM0-4802	4347114	COLI-K12-87 // TU0-4562
PM0-9790		TU0-14510
PM0-9690	3079914	COLI-K12-61 // TU0-14235
PM0-44887	1421695	COLI-K12-28
PM0-44451	344560	COLI-K12-6
PM00338	431469	COLI-K12-8 // TU00449
PM0-44816	1268546	COLI-K12-25
PM0-45250	2235981	COLI-K12-44
PM00238	4116184	COLI-K12-82 // TU00173
PM241	4540717	COLI-K12-91 // TU182
PM0-45180	2054816	COLI-K12-41
PM0-45616	3214561	COLI-K12-64
PM00653	2464330	COLI-K12-49 // TU00500
PM0-10014	1105515	COLI-K12-22 // TU0-14619
PM0-45544	3089090	COLI-K12-61
PM0-45981	4220652	COLI-K12-84
PM0-45909	3948007	COLI-K12-79
PM0-1726	1137574	COLI-K12-22 // TU0-1545
PM0-10516	1840212	COLI-K12-36 // TU0-14800
PM0-6061	3662887	COLI-K12-73 // TU0-5761
PM0-4643	1308547	COLI-K12-26
PM0-44504	514301	COLI-K12-10
PM0-9640	3788172	COLI-K12-75 // TU0-13999
PM0-9768	1473090	COLI-K12-29 // TU0-13249
PM0-44437	317558	COLI-K12-6
PM0-44871	1393995	COLI-K12-27
PM0-44800	1225701	COLI-K12-24
PM00322	85453	COLI-K12-1 // TU0-6861
PM00217	1545396	COLI-K12-31 // TU00157
PM0-45236	2202424	COLI-K12-44
PM00637	2708109	COLI-K12-54 // TU00342
PM183	1819750	COLI-K12-36 // TU00248
PM0-45167	2027394	COLI-K12-40
PM0-45600	3180451	COLI-K12-63
PM0-45528	3029211	COLI-K12-60
PM-8830	1498560	COLI-K12-30 // TU00364
PM0-10473	4282958	COLI-K12-85 // TU0-14786
PM0-45965	4116409	COLI-K12-82
PM0-46387	3338154	COLI-K12-66 // TU0-42672
PM0-1401	4374817	COLI-K12-87 // TU0-1241
PM0-9604	3698295	COLI-K12-74 // TU0-8846
PM0-5442	52034	COLI-K12-1 // TU0-5202
PM0-44422	294887	COLI-K12-5
PM0-44488	479727	COLI-K12-9
PM0-44784	1208412	COLI-K12-24
PM0-9750		TU0-13908
PM00192	2337479	COLI-K12-46 // TU00140
PM0-44855	1348260	COLI-K12-27
PM00621	3490471	COLI-K12-70 // TU00466
PM00299	4464233	COLI-K12-89 // TU00213
PM0-45151	1977615	COLI-K12-39
PM0-45220	2165572	COLI-K12-43
PM0-45512	2988592	COLI-K12-59
PM166	3126098	COLI-K12-62 // TU0-1962
PM0-45880	3834861	COLI-K12-76
PM0-45584	3160888	COLI-K12-63
PM0-10448	4554599	COLI-K12-91 // TU0-14766
PM-8800	3548421	COLI-K12-71 // TU-8414
PM0-46369	1994904	COLI-K12-40 // TU0-42620
PM0-45949	4071555	COLI-K12-81
PM0-44406	274343	COLI-K12-5
PM0-1301	1156989	COLI-K12-23 // TU0-1141
PM0-9586	2812824	COLI-K12-56 // TU0-8515
PM0-5241	3865004	COLI-K12-77 // TU0-5001
PM0-44768	1196812	COLI-K12-24
PM0-44472	409342	COLI-K12-8
PM00167	3107197	COLI-K12-62 // TU00124
PM0-9725	1338159	TU0-13200 // COLI-K12-26 // TU0-14472
PM00604	2001841	COLI-K12-40 // TU00274
PM0-44839	1315363	COLI-K12-26
PM0-45135	1943568	COLI-K12-38
PM00278	354108	COLI-K12-7 // TU00197
PM0-45496	2982216	COLI-K12-59
PM0-45204	2105258	COLI-K12-42
PM0-45864	3783079	COLI-K12-75
PM1001	2229841	COLI-K12-44 // TU841
PM0-10409	1702536	COLI-K12-34 // TU0-13351
PM0-45568	3131990	COLI-K12-62
PM0-46352	1049925	COLI-K12-21 // TU0-13108
PM0-45933	4042154	COLI-K12-81
PM0-44390	234926	COLI-K12-4
PM-8777	3167823	COLI-K12-63 // TU-8394
PM0-9560	3988813	COLI-K12-79 // TU0-14402
PM0-1121	1327308	COLI-K12-26 // TU0-961
PM0-44752	1168204	COLI-K12-23
PM0-4942	365589	COLI-K12-7 // TU0-4702
PM00147	1684733	COLI-K12-33 // TU00105
PM0-9707	701088	COLI-K12-14 // TU0-14463
PM0-45119	1919981	COLI-K12-38
PM0-44823	1287974	COLI-K12-25
PM00591	3071845	COLI-K12-61 // TU0-8082 // TU00443
PM00252	931551	COLI-K12-18 // TU00181
PM0-45480	2928895	COLI-K12-58
PM0-45188	2065535	COLI-K12-41
PM0-45848	3749983	COLI-K12-75
PM00661	4494409	COLI-K12-90 // TU00506
PM0-10368	635909	COLI-K12-12 // TU0-12993
PM0-45552	3107543	COLI-K12-62
PM0-46333	1348156	COLI-K12-27 // TU0-13203
PM0-45917	4002320	COLI-K12-80
PM0-44374	177757	COLI-K12-3
PM0-10539	3204446	COLI-K12-64 // TU00368
PM0-9521	400543	COLI-K12-8 // TU0-12913
PM0-4723	4311280	COLI-K12-86 // TU0-4483
PM0-44736	1125300	COLI-K12-22
PM0-9672	90010	COLI-K12-1 // TU0-14439
PM00128	3955935	COLI-K12-79 // TU00090
PM0-44444	320708	COLI-K12-6
PM0-45103	1892652	COLI-K12-37
PM0-44808	1242348	COLI-K12-24
PM00574	2848861	COLI-K12-57 // TU0-8345 // TU00424
PM00227	621457	COLI-K12-12 // TU00165
PM0-45464	2871414	COLI-K12-57
PM00645	262065	COLI-K12-5 // TU00490
PM0-45832	3714507	COLI-K12-74
PM0-45175	2040200	COLI-K12-40
PM0-10344	3992515	COLI-K12-80 // TU0-14042
PM0-45536	3072778	COLI-K12-61
PM0-46317	3904740	COLI-K12-78 // TU0-42564
PM0-45901	3914082	COLI-K12-78
PM0-44359	146898	COLI-K12-2
PM0-10502	1407153	COLI-K12-28 // TU0-14795
PM0-9408	3245570	COLI-K12-65 // TU0-14286
PM0-46401	1928881	COLI-K12-38 // TU0-8494
PM0-44720	1094982	COLI-K12-21
PM0-9623	2698313	COLI-K12-54 // TU0-14422
PM00103	3098773	COLI-K12-62 // TU00075
PM0-4443	4437309	COLI-K12-88 // TU0-6362
PM0-45087	1874846	COLI-K12-37
PM0-44792	1212435	COLI-K12-24
PM00557	10643	COLI-K12-0 // TU00406
PM00201	2475768	COLI-K12-49 // TU00149
PM0-45448	2780844	COLI-K12-55
PM00629	2428822	COLI-K12-48 // TU00475
PM0-45816	3672660	COLI-K12-73
PM0-45159	1994934	TU0-42626 // COLI-K12-40
PM0-10278	3192887	COLI-K12-64 // TU0-13845
PM0-45520	3004139	COLI-K12-60
PM0-46299	1445418	COLI-K12-29 // TU0-42549
PM0-45888	3841953	COLI-K12-77
PM0-44344	35499	COLI-K12-0
PM0-10465	257824	COLI-K12-5
PM0-9371	3431672	COLI-K12-68 // TU00258
PM0-46379	388978	COLI-K12-7 // TU0-12908
PM0-44704	1050507	COLI-K12-21
PM0-9593	2496421	COLI-K12-50 // TU0-13612
PM00083	1121866	COLI-K12-22 // TU00060
PM0-44414	284574	COLI-K12-5
PM0-45071	1842926	COLI-K12-36
PM0-44776	1201482	COLI-K12-24
PM00541	4465294	COLI-K12-89 // TU00397
PM00177	1697337	COLI-K12-34 // TU00132
PM0-45432	2748785	COLI-K12-55
PM00612	3595753	COLI-K12-72 // TU00457
PM0-45800	3617136	COLI-K12-72
PM0-45143	1959955	COLI-K12-39
PM0-10244	1120732	COLI-K12-22 // TU0-13128
PM0-45504	2985530	COLI-K12-59
PM0-46217	2753608	COLI-K12-55 // TU0-42503
PM0-45872	3814008	COLI-K12-76
PM0-4427	865617	COLI-K12-17 // TU00302
PM0-10436	1449522	COLI-K12-29
PM0-9320	1314116	COLI-K12-26 // TU0-36408 // TU0-13193
PM0-46360	2280462	COLI-K12-45 // TU0-13557
PM0-44688	1014755	COLI-K12-20
PM0-44398	245993	COLI-K12-4
PM00058	702931	COLI-K12-14 // TU00043
PM0-9570	331097	COLI-K12-6 // TU0-14408
PM0-45055	1804194	COLI-K12-36
PM0-44760	1180569	COLI-K12-23
PM00525	3403162	COLI-K12-68 // TU00231
PM00155	2321434	COLI-K12-46 // TU00114
PM0-45416	2720690	TU0-13672 // COLI-K12-54
PM0-45127	1928743	COLI-K12-38
PM0-45784	3602320	COLI-K12-72
PM00599	1957010	TU0-42592 // COLI-K12-39
PM0-10214	4374532	COLI-K12-87 // TU0-14682
PM0-45488	2963370	COLI-K12-59
PM0-46182	3921779	COLI-K12-78
PM0-45856	3757948	COLI-K12-75
PM0-4081	63358	COLI-K12-1 // TU0-3841
PM0-10382	707459	COLI-K12-14 // TU0-13021
PM0-9127	1272983	COLI-K12-25 // TU0-8691
PM0-46343	2191780	COLI-K12-43 // TU0-42595
PM0-44672	948866	COLI-K12-19
PM0-44382	195555	COLI-K12-3
PM00037	2350605	COLI-K12-47 // TU00030
PM0-9547	179183	COLI-K12-3 // TU0-12822
PM00033	791309	TU0-42584 // TU0-42582 // TU0-42580 // COLI-K12-15 // TU00026
PM0-44744	1152516	COLI-K12-23
PM0-45036	1756969	COLI-K12-35
PM00138	1036933	COLI-K12-20 // TU00097
PM00505	4481942	COLI-K12-89 // TU0-6687
PM0-45111	1908183	COLI-K12-38
PM0-45397	2651721	COLI-K12-53
PM00582	3638023	COLI-K12-72 // TU00433
PM0-45765	3555024	COLI-K12-71
PM0-45472	2898494	COLI-K12-58
PM0-10185	4370784	COLI-K12-87 // TU0-14141
PM0-45840	3723925	COLI-K12-74
PM0-46140	2817392	COLI-K12-56 // TU0-42457
PM0-10360	4002837	COLI-K12-80 // TU0-14046
PM0-3626	395777	COLI-K12-7 // TU0-3426
PM0-46325	1338210	COLI-K12-26 // TU0-42573
PM0-8891	1800757	COLI-K12-36 // TU0-14257 // TU00366
PM0-44366	156984	COLI-K12-3
PM0-44653	897170	COLI-K12-17
PM0-9468	2031673	COLI-K12-40 // TU0-14332
PM00014	121671	COLI-K12-2 // TU00012
PM0-44728	1104961	COLI-K12-22
PM0-45020	1723672	COLI-K12-34
PM00113	552365	COLI-K12-11 // TU00082
PM00488	4126552	COLI-K12-82 // TU0-2707
PM0-45095	1879736	COLI-K12-37
PM0-45381	2589092	COLI-K12-51
PM00565	3475521	COLI-K12-69 // TU0-1064
PM0-45749	3524265	COLI-K12-70
PM0-45456	2857759	COLI-K12-57
PM0-10166	4029170	COLI-K12-80 // TU0-14056
PM0-45824	3694345	COLI-K12-74
PM0-46114	4631922	COLI-K12-92
PM0-10299	2795107	TU0-42608 // COLI-K12-56 // TU0-13709
PM0-36244	2228531	COLI-K12-44 // TU0-13535
PM0-46307	3858276	COLI-K12-77 // TU0-8596
PM0-8756	197026	COLI-K12-3 // TU0-8373
PM0-44351	73085	COLI-K12-1
PM0-44637	852358	COLI-K12-17
PM0-9391		TU0-13955
PM0-9997	865760	COLI-K12-17 // TU0-13063
PM0-44712	1055430	COLI-K12-21
PM0-45004	1674572	COLI-K12-33
PM00094	1321132	COLI-K12-26 // TU0-42510 // TU00067
PM00472	3920293	COLI-K12-78 // TU0-6635
PM0-45079	1860488	COLI-K12-37 // TU0-41857
PM0-45365	2524955	COLI-K12-50
PM00549	1328872	COLI-K12-26 // TU0-2503
PM0-45733	3475453	COLI-K12-69
PM0-45440	2756950	COLI-K12-55
PM0-10146	3643373	COLI-K12-73 // TU0-13958
PM0-45808	3632840	COLI-K12-72
PM0-46098	4592905	COLI-K12-92
PM0-10254	882792	COLI-K12-17 // TU0-14699
PM0-3623	2751508	COLI-K12-55 // TU0-3423
PM0-46270	1063260	COLI-K12-21 // TU0-42532
PM0-8728	4349708	COLI-K12-87 // TU0-8347
PM0-44336	8017	COLI-K12-0
PM0-44620	799775	COLI-K12-16
PM0-9350	4117381	COLI-K12-82 // TU0-14264
PM0-9981	454346	COLI-K12-9 // TU0-14614
PM0-44696	1029203	COLI-K12-20
PM0-44988	1642996	COLI-K12-32
PM00067	4156480	COLI-K12-83 // TU00051
PM00453	3717963	COLI-K12-74 // TU0-1582
PM0-45063	1815266	COLI-K12-36
PM0-45349	2490166	COLI-K12-49
PM00533	1980489	COLI-K12-39 // TU00312
PM923	4199735	COLI-K12-84 // TU782
PM0-45424	2739844	COLI-K12-54
PM0-45717	3410519	COLI-K12-68
PM0-45792	3607790	COLI-K12-72
PM0-10127	3219459	COLI-K12-64 // TU0-13850
PM0-10228	3053996	COLI-K12-61 // TU0-36424 // TU0-13794
PM0-46082	4560705	COLI-K12-91
PM0-46197	4589390	COLI-K12-92 // TU0-42491
PM0-36210	3339741	COLI-K12-66 // TU0-36432
PM0-4381	3036856	COLI-K12-60 // TU0-4141
PM0-8624	1944168	COLI-K12-39 // TU0-8244
PM0-9298	3511719	COLI-K12-70 // TU0-8862
PM0-44606	784071	COLI-K12-15
PM0-44680	963331	COLI-K12-19
PM0-9965	194901	COLI-K12-3 // TU0-14609
PM00046	4255110	COLI-K12-85 // TU00037
PM0-44972	1613574	COLI-K12-32
PM0-45047	1785407	COLI-K12-35
PM00436	3210659	COLI-K12-64 // TU00437
PM00517	953726	COLI-K12-19 // TU00378
PM0-45333	2446458	COLI-K12-49
PM0-45408	2696729	COLI-K12-54
PM683	1346968	COLI-K12-27 // TU583
PM0-45776	3584942	COLI-K12-71
PM0-45701	3384232	COLI-K12-67
PM0-10201	903038	COLI-K12-18 // TU0-14676
PM0-10110	2865676	COLI-K12-57 // TU0-14651
PM0-46166	1994881	COLI-K12-40 // TU0-42467
PM0-46066	4502029	COLI-K12-90
PM0-45773	3579864	COLI-K12-71
PM0-36176	3571680	COLI-K12-71 // TU0-14302
PM0-10194	4476468	COLI-K12-89 // TU0-8617
PM0-8528	1524044	COLI-K12-30 // TU0-8148
PM0-46160	1561273	COLI-K12-31 // TU0-42463
PM0-44589	717567	COLI-K12-14
PM0-3781	2425871	COLI-K12-48 // TU0-3581
PM0-9884	84188	COLI-K12-1 // TU0-12807
PM0-8915	582790	COLI-K12-11 // TU0-8479
PM0-44956	1563767	COLI-K12-31
PM0-44661	922135	COLI-K12-18
PM00418	2732227	COLI-K12-54 // TU00421
PM00025	4615301	COLI-K12-92 // TU00018
PM0-45317	2386480	COLI-K12-47
PM0-45028	1741399	COLI-K12-34
PM603	1739403	COLI-K12-34 // TU503
PM00497	4177646	COLI-K12-83 // TU00335
PM0-45685	3352240	COLI-K12-67
PM0-45389	2639902	COLI-K12-52
PM0-10091	2530366	COLI-K12-50 // TU0-14642
PM0-45757	3530610	COLI-K12-70
PM0-46050	4473424	COLI-K12-89
PM0-10177	4262306	COLI-K12-85 // TU0-14119
PM0-36128	188655	COLI-K12-3 // TU0-36398
PM0-46124	2560075	COLI-K12-51 // TU0-42449
PM0-8224	21120	COLI-K12-0 // TU0-7844
PM0-36251	3180455	COLI-K12-63 // TU0-8666
PM0-44573	675923	COLI-K12-13
PM0-8849	2837309	COLI-K12-56
PM0-9856	2492455	COLI-K12-50 // TU0-7746
PM0-44645	862753	COLI-K12-17
PM0-44940	1516399	COLI-K12-30
PM00006	4152920	COLI-K12-83 // TU00226
PM00398	2091384	COLI-K12-41 // TU0-6650
PM0-45012	1702897	COLI-K12-34
PM0-45301	2371596	COLI-K12-47
PM00480	3963710	COLI-K12-79 // TU0-3103
PM525	882872	COLI-K12-17 // TU423
